name,logo,appid,type,steam_appid,is_free,supported_languages,developers,publishers,price_overview,original_price,discounted_price,platforms,genres,achievements,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
Far Cry® 6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2369390/capsule_sm_120.jpg?t=1738249424,2369390,game,2369390,False,"English<strong>*</strong>, French<strong>*</strong>, Italian, German<strong>*</strong>, Spanish - Spain, Arabic, Japanese<strong>*</strong>, Korean, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Spanish - Latin America<strong>*</strong>, Thai, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Toronto', 'Ubisoft Montreal', 'Ubisoft Kyiv', 'Ubisoft Shanghai', 'Ubisoft Berlin']",['Ubisoft'],"14,99€","59,99€","14,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure']",99.0,20,5,Mixed,6651,3158,9809
Overwatch® 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2357570/07a238712bc377d006e6d85358683a88d5bcb911/capsule_sm_120_alt_assets_9.jpg?t=1739912886,2357570,game,2357570,True,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Traditional Chinese<strong>*</strong>, Simplified Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support","['Blizzard Entertainment, Inc.']","['Blizzard Entertainment, Inc.']",,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Free To Play']",164.0,2,4,Mostly Negative,38,61,99
Stellaris,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/281990/16bbdb9ee38ec91433522604828fdbbbf2fae9ea/capsule_sm_120.jpg?t=1738000689,281990,game,281990,False,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Korean",['Paradox Development Studio'],['Paradox Interactive'],"39,99€",,"39,99€","{'windows': True, 'mac': True, 'linux': True}","['Simulation', 'Strategy']",191.0,20,8,Very Positive,60963,7909,68872
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3123410/bc08fd1a9447294411cf397d927bcf591e0857c1/capsule_sm_120.jpg?t=1740442375,3123410,game,3123410,False,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Japanese<strong>*</strong>, Korean<br><strong>*</strong>languages with full audio support","['KOEI TECMO GAMES CO., LTD.']","['KOEI TECMO GAMES CO., LTD.']","69,99€",,"69,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",,0,0,No user reviews,0,0,0
Brighter Shores,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2791440/capsule_sm_120.jpg?t=1730886398,2791440,game,2791440,True,English<strong>*</strong><br><strong>*</strong>languages with full audio support,['Fen Research Ltd'],['Fen Research Ltd'],,,,"{'windows': True, 'mac': True, 'linux': False}","['Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Free To Play', 'Early Access']",,0,0,No user reviews,0,0,0
Farming Simulator 25,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2300320/capsule_sm_120.jpg?t=1738682684,2300320,game,2300320,False,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Indonesian<br><strong>*</strong>languages with full audio support",['Giants Software'],['Giants Software'],"49,99€",,"49,99€","{'windows': True, 'mac': True, 'linux': False}",['Simulation'],45.0,20,8,Very Positive,5990,1426,7416
Starward,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2764370/258aa0d2917f807447a31200e048725f08cfd4e1/capsule_sm_120.jpg?t=1741249294,2764370,game,2764370,True,"Simplified Chinese<strong>*</strong>, English, Japanese<strong>*</strong>, Traditional Chinese<strong>*</strong>, Korean<br><strong>*</strong>languages with full audio support",['Game Blender'],['盛天游戏'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play']",,0,0,No user reviews,0,0,0
Tom Clancy’s The Division® 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2221490/b97763366f3f1bfe1a5bab3d12db65d7d981d40a/capsule_sm_120.jpg?t=1740472058,2221490,game,2221490,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Spanish - Latin America<strong>*</strong>, Traditional Chinese<br><strong>*</strong>languages with full audio support",['Ubisoft'],['Ubisoft'],"7,49€","29,99€","7,49€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",60.0,20,6,Mostly Positive,7057,2148,9205
Shadow Gambit: The Cursed Crew,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1545560/6c51ffb75de8ba465b85b877461c642194d974a0/capsule_sm_120.jpg?t=1740689338,1545560,game,1545560,False,"English<strong>*</strong>, French, Italian, German<strong>*</strong>, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support",['Mimimi Games'],"['Hooded Horse', 'Mimimi Games']","19,99€","39,99€","19,99€","{'windows': True, 'mac': False, 'linux': False}","['RPG', 'Strategy']",26.0,17,8,Very Positive,1334,116,1450
Europa Universalis IV,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/236850/f4e714d0f5a6be6b76e4b7cfddd692ccc689884a/capsule_sm_120.jpg?t=1738000732,236850,game,236850,False,"English, German, French, Spanish - Spain","['Paradox Development Studio', 'Paradox Tinto']",['Paradox Interactive'],"49,99€",,"49,99€","{'windows': True, 'mac': True, 'linux': True}","['Simulation', 'Strategy']",373.0,20,8,Very Positive,39827,5914,45741
